SimNum,Simulation,Electoral College Winner,SimpleCanidate,Third Party EC Votes,WinningMargin,Democratic EC Votes,Republican EC Votes,Democratic State Wins,Republican State Wins,WinnerStateWins
138,election_138,The Democratic nominee (Biden/Harris),Biden,0,23,292,246,"Wisconsin, Michigan, Arizona","Georgia, Iowa, Florida","Wisconsin, Michigan, Arizona"
139,election_139,The Democratic nominee (Biden/Harris),Biden,0,13,282,256,"Michigan, Arizona, Pennsylvania","Wisconsin, Georgia, Iowa","Michigan, Arizona, Pennsylvania"
140,election_140,The Democratic nominee (Biden/Harris),Biden,0,33,302,236,"Michigan, Arizona, Ohio","Wisconsin, Georgia, Iowa","Michigan, Arizona, Ohio"
141,election_141,The Democratic nominee (Biden/Harris),Biden,0,6,275,263,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Wisconsin, Michigan, Pennsylvania"
142,election_142,The Republican nominee (Trump/Pence),Trump,0,-19,250,288,"Pennsylvania, NA, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
143,election_143,The Republican nominee (Trump/Pence),Trump,0,-12,257,281,"Michigan, Iowa, Pennsylvania","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
144,election_144,The Republican nominee (Trump/Pence),Trump,3,-21,248,287,"Arizona, Pennsylvania, NA","Wisconsin, Michigan, Georgia","Wisconsin, Michigan, Georgia"
145,election_145,The Republican nominee (Trump/Pence),Trump,0,-39,230,308,"Pennsylvania, NA, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
146,election_146,The Democratic nominee (Biden/Harris),Biden,0,2,271,267,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Michigan, Pennsylvania, NA"
147,election_147,The Republican nominee (Trump/Pence),Trump,0,-23,246,292,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
148,election_148,The Democratic nominee (Biden/Harris),Biden,0,1,270,268,"Michigan, Iowa, Pennsylvania","Wisconsin, Arizona, Georgia","Michigan, Iowa, Pennsylvania"
149,election_149,The Republican nominee (Trump/Pence),Trump,0,-29,240,298,"Pennsylvania, NA, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
